CIN,State,Sector,Capital,Cap_share,Lab_share,Labor,Debt,Productivity
U37226OD2024PTC374597,Odisha,Services,0.4143519924583237,0.4504727735548856,0.5495272264451143,8,0.25150377852747313,1.0
U69552TE2024PTC714405,Telangana,Services,0.757341964977879,0.4504727735548856,0.5495272264451143,15,1.1112769927380295,1.0
U73692MA2024PTC910956,Maharashtra,Services,0.9008055014838856,0.4504727735548856,0.5495272264451143,18,0.8607945863291042,1.0
U41843MA2024PTC163140,Maharashtra,Agriculture,1.1211320713600987,0.435341779957907,0.564658220042093,22,1.5159187788018271,1.0
U22744DE2024PTC206320,Delhi,Manufacturing,0.8579299820615807,0.6345177380166837,0.3654822619833164,17,1.3181353726124296,1.0
U92146DE2024PTC925342,Delhi,Manufacturing,2.91217770331641,0.6345177380166837,0.3654822619833164,58,1.5986595576410185,1.0
U17482DE2024PTC872147,Delhi,Manufacturing,0.6497971338421165,0.6345177380166837,0.3654822619833164,12,0.31434591492518094,1.0
U50081KE2024PTC844570,Kerala,Services,0.23502859723495229,0.4504727735548856,0.5495272264451143,4,0.43500258589893454,1.0
U24030MA2024PTC612470,Maharashtra,Services,17.13393825654988,0.4504727735548856,0.5495272264451143,342,31.46292580410275,1.0
U35472MA2024PTC961480,Maharashtra,Manufacturing,2.0322544101780826,0.6345177380166837,0.3654822619833164,40,1.941427435468596,1.0
U29045DE2024PTC389279,Delhi,Agriculture,2.484024101730199,0.435341779957907,0.564658220042093,49,2.009634233694644,1.0
U74273TE2024PTC462112,Telangana,Agriculture,2.7863048324794275,0.435341779957907,0.564658220042093,55,1.0683507182353176,1.0
U60677KA2024PTC850793,Karnataka,Services,0.7755898372997263,0.4504727735548856,0.5495272264451143,15,0.5372756765163074,1.0
U90286PU2024PTC988390,Punjab,Services,0.5402288256903416,0.4504727735548856,0.5495272264451143,10,0.3410365929954488,1.0
U23733HA2024PTC293185,Haryana,Services,0.9161871620865178,0.4504727735548856,0.5495272264451143,18,1.081295524535328,1.0
U93016HA2024PTC425976,Haryana,Services,1.4816796177913838,0.4504727735548856,0.5495272264451143,29,1.464375062769734,1.0
U13098UT2024PTC709448,Uttar Pradesh,Services,0.631240644020972,0.4504727735548856,0.5495272264451143,12,1.2063206420881065,1.0
U67119GU2024PTC811240,Gujarat,Services,2.630011739608438,0.4504727735548856,0.5495272264451143,52,0.7666132733163712,1.0
U64480WE2024PTC533762,West Bengal,Manufacturing,1.1870736582474881,0.6345177380166837,0.3654822619833164,23,1.2907969442217697,1.0
U53887UT2024PTC604705,Uttar Pradesh,Services,0.42840392227308305,0.4504727735548856,0.5495272264451143,8,0.2514691133961524,1.0
U24250MA2024PTC660670,Maharashtra,Manufacturing,1.0477578096477629,0.6345177380166837,0.3654822619833164,20,0.8227554040195326,1.0
U59999DE2024PTC409166,Delhi,Services,1.1906638812903627,0.4504727735548856,0.5495272264451143,23,1.5730585202619782,1.0
U45472UT2024PTC319746,Uttar Pradesh,Agriculture,0.5723248308877099,0.435341779957907,0.564658220042093,11,0.41229268708905525,1.0
U13893JH2024PTC832469,Jharkhand,Services,0.6072835655895821,0.4504727735548856,0.5495272264451143,12,2.4414845163467316,1.0
U86799WE2024PTC725586,West Bengal,Agriculture,0.38728898012351376,0.435341779957907,0.564658220042093,7,0.2587352249023933,1.0
U72086KA2024PTC792661,Karnataka,Services,5.36120325311776,0.4504727735548856,0.5495272264451143,107,3.4790853545609726,1.0
U61594HI2024PTC560477,Himachal Pradesh,Manufacturing,0.958655869721956,0.6345177380166837,0.3654822619833164,19,0.31676354852679867,1.0
U50109GU2024PTC159087,Gujarat,Services,2.757587469701971,0.4504727735548856,0.5495272264451143,55,2.6772366441089828,1.0
U92245MA2024PTC333793,Maharashtra,Services,0.9447255214363585,0.4504727735548856,0.5495272264451143,18,0.7831489030644038,1.0
U53190DE2024PTC819082,Delhi,Manufacturing,0.6759219221816365,0.6345177380166837,0.3654822619833164,13,0.2615590639572012,1.0
U12666MA2024PTC207705,Maharashtra,Services,0.9997259902033706,0.4504727735548856,0.5495272264451143,19,0.6469008295474573,1.0
U63513HA2024PTC214307,Haryana,Services,0.5808939699373958,0.4504727735548856,0.5495272264451143,11,0.6502005088545404,1.0
U82688DE2024PTC980445,Delhi,Agriculture,3.186698830826086,0.435341779957907,0.564658220042093,63,1.4045689141572044,1.0
U80314TE2024PTC378313,Telangana,Services,0.5745911898707196,0.4504727735548856,0.5495272264451143,11,0.31299205466433205,1.0
U27668TE2024PTC576514,Telangana,Services,4.217903799891438,0.4504727735548856,0.5495272264451143,84,3.7420798240170785,1.0
U61810KA2024PTC513161,Karnataka,Services,3.707529798206319,0.4504727735548856,0.5495272264451143,74,3.9610137471791385,1.0
U65159UT2024PTC842732,Uttar Pradesh,Manufacturing,1.1186650588196891,0.6345177380166837,0.3654822619833164,22,1.732936734949455,1.0
U20079DE2024PTC742988,Delhi,Services,3.932395136970803,0.4504727735548856,0.5495272264451143,78,16.01555355870921,1.0
U28362MA2024PTC506135,Maharashtra,Services,4.893982083829577,0.4504727735548856,0.5495272264451143,97,3.5309931579423366,1.0
U30800WE2024PTC310366,West Bengal,Manufacturing,0.9472974898028177,0.6345177380166837,0.3654822619833164,18,0.30059465350660985,1.0
U64648DE2024PTC718698,Delhi,Services,1.233514954905362,0.4504727735548856,0.5495272264451143,24,0.4221307325581944,1.0
U67026GU2024PTC151376,Gujarat,Agriculture,23.348283713281354,0.435341779957907,0.564658220042093,466,88.57822176171177,1.0
