STATES/UT,Public Limited - No. of Companies,Public Limited - Paid up Capital*,Private Limited - No. of Companies,Private Limited - Paid up Capital*,Total No. of Companies,Total Paid up Capital*
Andhra Pradesh,3472,79677.72,33174,38583.55,36646,118261.27
Arunachal Pradesh,15,60.74,113,77.69,128,138.43
Assam,482,3906.76,3624,2246.97,4106,6153.73
Bihar,394,888.34,5706,1226.54,6100,2114.88
Chhatisgarh,366,13576.49,3877,2498.62,4243,16075.11
Goa,154,1540.99,3421,1959.33,3575,3500.32
Gujarat,3530,97342.51,33457,27344.82,36987,124687.33
Haryana,776,36993.96,9093,16587.13,9869,53581.09
Himachal Pradesh,195,9309.40,1763,2251.87,1958,11561.27
Jammu & Kashmir,81,286.40,1132,329.59,1213,615.99
Jharkhand,183,6732.90,3471,3257.12,3654,9990.02
Karnataka,1764,59001.72,30918,38207.74,32682,97209.46
Kerala,1086,7399.53,14044,7475.89,15130,14875.42
Madhya Pradesh,1158,24327.49,12008,6008.13,13166,30335.62
Maharashtra,10163,216272.45,126398,141738.44,136561,358010.89
Manipur,8,162.87,59,36.01,67,198.88
Meghalaya,105,3858.67,360,442.11,465,4300.78
Mizoram,4,26.76,12,30.03,16,56.79
Nagaland,12,77.16,86,27.28,98,104.44
Orissa,747,10770.67,6897,3337.51,7644,14108.18
Punjab,1513,16495.60,9802,4289.02,11315,20784.62
Rajasthan,1306,21730.09,22709,5170.30,24015,26900.39
Tamil Nadu,4424,92738.77,40720,58145.12,45144,150883.89
Tripura,19,737.31,85,103.21,104,840.52
Uttar Pradesh,2107,49183.98,22255,7281.50,24362,56465.48
Uttrakhand,158,5061.40,1774,865.46,1932,5926.86
West Bengal,7664,63489.57,97171,43531.96,104835,107021.53
Delhi,10670,183084.05,131357,142365.40,142027,325449.45
A & N Islands,2,4.59,99,23.65,101,28.24
Chandigarh,644,3255.47,4701,1684.02,5345,4939.49
Daman & Diu,41,390.31,109,551.65,150,941.96
D & N Haveli,53,2263.70,194,172.72,247,2436.42
Lakshdweep,0,0.00,9,6.58,9,6.58
Puducherry,56,272.46,906,1850.77,962,2123.23
Total,53352,1010920.83,621504,559707.73,674856,1570628.56
