Base Year,Series,Year,Indicator,Frequency,Revision,Industry,Institutional Sector,Current Price,Constant Price,Unit
2022-23,Current,2025-26,Gross Value Added,Annual,Second Advance Estimates,"Agriculture, Livestock, Forestry and Fishing",*,5608471,5208800,₹ Crore
2022-23,Current,2025-26,Gross Value Added,Annual,Second Advance Estimates,Mining and Quarrying,*,587962,602175,₹ Crore
2022-23,Current,2025-26,Gross Value Added,Annual,Second Advance Estimates,Manufacturing,*,4653867,4783866,₹ Crore
2022-23,Current,2025-26,Gross Value Added,Annual,Second Advance Estimates,"Electricity, Gas, Water Supply & Other Utility Services",*,820733,681743,₹ Crore
2022-23,Current,2025-26,Gross Value Added,Annual,Second Advance Estimates,Construction,*,2645036,2663550,₹ Crore
2022-23,Current,2025-26,Gross Value Added,Annual,Second Advance Estimates,"Trade, Hotels, Transport, Communication & Services Related to Broadcasting",*,4457695,4220102,₹ Crore
2022-23,Current,2025-26,Gross Value Added,Annual,Second Advance Estimates,"Financial, Real Estate & Professional Services",*,8475799,7673725,₹ Crore
2022-23,Current,2025-26,Gross Value Added,Annual,Second Advance Estimates,"Public Administration, Defence & Other Services",*,4111284,3605948,₹ Crore
2022-23,Current,2025-26,Gross Value Added,Annual,Second Advance Estimates,Total Gross Value Added,*,31360846,29439908,₹ Crore
2022-23,Current,2025-26,Gross Value Added,Annual,Provisional Estimates,"Agriculture, Livestock, Forestry and Fishing",*,5665300,5238265,₹ Crore
2022-23,Current,2025-26,Gross Value Added,Annual,Provisional Estimates,Mining and Quarrying,*,598426,608380,₹ Crore
2022-23,Current,2025-26,Gross Value Added,Annual,Provisional Estimates,Manufacturing,*,4662442,4746800,₹ Crore
2022-23,Current,2025-26,Gross Value Added,Annual,Provisional Estimates,"Electricity, Gas, Water Supply & Other Utility Services",*,820895,683191,₹ Crore
2022-23,Current,2025-26,Gross Value Added,Annual,Provisional Estimates,Construction,*,2655075,2670543,₹ Crore
2022-23,Current,2025-26,Gross Value Added,Annual,Provisional Estimates,"Trade, Hotels, Transport, Communication & Services Related to Broadcasting",*,4492012,4254239,₹ Crore
2022-23,Current,2025-26,Gross Value Added,Annual,Provisional Estimates,"Financial, Real Estate & Professional Services",*,8512041,7709678,₹ Crore
2022-23,Current,2025-26,Gross Value Added,Annual,Provisional Estimates,"Public Administration, Defence & Other Services",*,4080651,3579993,₹ Crore
2022-23,Current,2025-26,Gross Value Added,Annual,Provisional Estimates,Total Gross Value Added,*,31486840,29491088,₹ Crore
2022-23,Current,2024-25,Gross Value Added,Annual,First Revised Estimates,*,Public Non-Financial Corporations,1551904,*,₹ Crore
2022-23,Current,2024-25,Gross Value Added,Annual,First Revised Estimates,*,Private Non-Financial Corporations,9555601,*,₹ Crore
